work_id,subject
179,Spring
180,Cafes/Bars
403,Flowers
417,Gardens
418,Gardens
465,Seascapes
466,Bridges
466,Spring
469,Flowers
469,Gardens
475,Flowers
476,Gardens
479,Flowers
479,Gardens
485,Autumn/Fall
523,Flowers
523,Gardens
525,Flowers
526,Portraits
535,Bridges
536,Portraits
544,Flowers
544,Gardens
548,Gardens
549,Gardens
595,Spring
598,Spring
601,Autumn/Fall
602,Spring
605,Jesus Christ
608,Still-Life
640,Summer
642,Portraits
643,Portraits
644,Portraits
648,Portraits
650,Portraits
651,Portraits
654,Portraits
657,Portraits
669,Flowers
701,Seascapes
702,Seascapes
703,Portraits
704,Portraits
707,Portraits
708,Portraits
710,Portraits
712,Portraits
713,Portraits
715,Portraits
716,Portraits
719,Portraits
722,Still-Life
725,Still-Life
726,Winter
728,Rivers/Lakes
760,Still-Life
761,Still-Life
762,Flowers
762,Still-Life
763,Still-Life
764,Still-Life
766,Still-Life
768,Flowers
768,Still-Life
770,Flowers
770,Still-Life
771,Flowers
773,Flowers
776,Summer
780,Architectures
780,Churches/Temples/Mosques
784,Cafes/Bars
787,Flowers
787,Spring
820,Gardens
827,Cafes/Bars
832,Portraits
838,Autumn/Fall
881,Spring
882,Architectures
892,Flowers
897,Flowers
899,Flowers
908,Spring
944,Still-Life
950,Autumn/Fall
950,Summer
955,Spring
1376,Musics
1382,Portraits
1398,Musics
1414,Architectures
1420,Musics
1439,Still-Life
1445,Nude
1447,Nude
1449,Nude
1465,Still-Life
1467,Still-Life
1469,Flowers
1471,Still-Life
1475,Flowers
1483,Still-Life
1485,Nude
1499,Seascapes
1511,Winter
1519,Rivers/Lakes
1521,Nude
1527,Portraits
1529,Portraits
1531,Portraits
1533,Portraits
1535,Portraits
1543,Portraits
1546,Portraits
1552,Still-Life
1554,Still-Life
1556,Still-Life
1560,Still-Life
1562,Still-Life
1564,Still-Life
1566,Still-Life
1570,Still-Life
1574,Still-Life
1576,Nude
1578,Still-Life
1580,Bridges
1580,Rivers/Lakes
1586,Cafes/Bars
1596,Seascapes
1602,Nude
1608,Rivers/Lakes
1624,Cafes/Bars
1942,Portraits
1950,Portraits
1956,Christianity
1964,Christianity
1966,Christianity
1968,Christianity
2020,Autumn/Fall
2024,Autumn/Fall
2024,Gardens
2040,Rivers/Lakes
2044,Rivers/Lakes
2050,Water Lilies
2060,Flowers
2062,Bridges
2062,Rivers/Lakes
2064,Water Lilies
2068,Seascapes
2074,Gardens
2076,Gardens
2078,Rivers/Lakes
2080,Bridges
2080,Rivers/Lakes
2082,Rivers/Lakes
2084,Bridges
2084,Rivers/Lakes
2092,Flowers
2098,Seascapes
2098,Spring
2100,Seascapes
2104,Rivers/Lakes
2142,Winter
2144,Summer
2146,Summer
2152,Winter
2160,Summer
2168,Seascapes
2194,Rivers/Lakes
2198,Seascapes
2206,Gardens
2206,Spring
2208,Bridges
2212,Horses
2214,Gardens
2218,Rivers/Lakes
2224,Spring
2240,Seascapes
2242,Seascapes
2248,Seascapes
2252,Rivers/Lakes
2258,Bridges
2278,Autumn/Fall
2304,Portraits
2310,Bridges
2316,Rivers/Lakes
2316,Water Lilies
2318,Rivers/Lakes
2320,Seascapes
2334,Churches/Temples/Mosques
2336,Churches/Temples/Mosques
2338,Seascapes
2358,Spring
2362,Spring
2364,Flowers
2364,Still-Life
2366,Still-Life
2372,Summer
2384,Seascapes
2386,Gardens
2386,Seascapes
2388,Gardens
2394,Rivers/Lakes
2396,Seascapes
2412,Bridges
2412,Rivers/Lakes
2418,Bridges
2418,Rivers/Lakes
2418,Water Lilies
2442,Flowers
2442,Gardens
2446,Gardens
2454,Rivers/Lakes
2458,Rivers/Lakes
2466,Bridges
2472,Bridges
2482,Gardens
2486,Winter
2488,Seascapes
2492,Seascapes
2498,Summer
2504,Water Lilies
2512,Churches/Temples/Mosques
2514,Churches/Temples/Mosques
2516,Bridges
2518,Bridges
2518,Rivers/Lakes
2524,Rivers/Lakes
2536,Rivers/Lakes
2536,Water Lilies
2554,Flowers
2558,Rivers/Lakes
2572,Summer
2578,Winter
2584,Water Lilies
2608,Water Lilies
2616,Water Lilies
2622,Water Lilies
2626,Water Lilies
2628,Water Lilies
2630,Water Lilies
2632,Water Lilies
2634,Water Lilies
2644,Water Lilies
2650,Rivers/Lakes
2650,Water Lilies
2652,Bridges
2652,Rivers/Lakes
2652,Water Lilies
2656,Rivers/Lakes
2656,Water Lilies
2660,Bridges
2662,Bridges
2666,Bridges
2676,Winter
2688,Gardens
2713,Nude
2728,Dancers
2732,Dancers
2734,Dancers
2740,Dancers
2742,Dancers
2744,Nude
2758,Dancers
2760,Dancers
2766,Dancers
2768,Dancers
2776,Dancers
2786,Dancers
2794,Dancers
2798,Dancers
2800,Dancers
2804,Dancers
2812,Dancers
2814,Dancers
2850,Portraits
2856,Horses
2860,Horses
2864,Horses
2866,Horses
2868,Horses
2872,Dancers
2880,Cafes/Bars
2892,Dancers
2896,Dancers
2900,Dancers
2902,Dancers
2904,Dancers
2908,Musics
2916,Musics
2920,Dancers
2930,Dancers
2940,Dancers
2952,Nude
2954,Nude
2956,Nude
2958,Nude
2960,Nude
2966,Nude
2968,Cafes/Bars
2970,Nude
2976,Abstract/Modern Art
2978,Abstract/Modern Art
2980,Abstract/Modern Art
2982,Abstract/Modern Art
2984,Abstract/Modern Art
2988,Abstract/Modern Art
2998,Abstract/Modern Art
3002,Abstract/Modern Art
3004,Abstract/Modern Art
3008,Abstract/Modern Art
3026,Abstract/Modern Art
3040,Abstract/Modern Art
3050,Abstract/Modern Art
3066,Abstract/Modern Art
3090,Abstract/Modern Art
3092,Abstract/Modern Art
3100,Abstract/Modern Art
3110,Abstract/Modern Art
3116,Abstract/Modern Art
3126,Abstract/Modern Art
3128,Abstract/Modern Art
3134,Abstract/Modern Art
3134,Winter
3136,Abstract/Modern Art
3179,Nude
3187,Christianity
3187,Jesus Christ
3191,Christianity
3191,Jesus Christ
3197,Christianity
3205,Jesus Christ
3207,Jesus Christ
3257,Portraits
3259,Portraits
3263,Portraits
3265,Portraits
3269,Portraits
3271,Portraits
3273,Portraits
3275,Portraits
3279,Portraits
3283,Portraits
3285,Portraits
3287,Portraits
3289,Portraits
3301,Portraits
3305,Portraits
3307,Portraits
3309,Portraits
3311,Portraits
3333,Christianity
3333,Jesus Christ
3347,Lovers
3375,Bridges
3377,Nude
3485,Portraits
3493,Flowers
3737,Nude
3759,Dogs
3785,Nude
3789,Nude
3795,Nude
3817,Flowers
3877,Dancers
3879,Dancers
3881,Dancers
3885,Dancers
3887,Dancers
3893,Portraits
3907,Flowers
3909,Flowers
3937,Musics
3973,Lovers
3981,Rivers/Lakes
3991,Nude
3995,Bridges
4003,Dogs
4015,Dogs
4065,Seascapes
4069,Rivers/Lakes
4071,Gardens
4091,Flowers
4091,Nude
4107,Flowers
4107,Gardens
4111,Bridges
4119,Portraits
4121,Portraits
4123,Portraits
4127,Portraits
4135,Nude
4145,Flowers
4153,Seascapes
4165,Nude
4177,Winter
4179,Flowers
4179,Spring
4185,Flowers
4185,Still-Life
4189,Flowers
4189,Still-Life
4191,Flowers
4191,Still-Life
4193,Still-Life
4195,Still-Life
4211,Nude
4267,Nude
4275,Churches/Temples/Mosques
4315,Nude
4333,Musics
4345,Seascapes
4365,Musics
4371,Gardens
4373,Portraits
4377,Nude
4383,Nude
4411,Musics
4413,Musics
4431,Flowers
4439,Nude
4459,Dancers
4475,Nude
4485,Flowers
4501,Autumn/Fall
4505,Nude
4579,Spring
4589,Portraits
4611,Still-Life
4621,Dogs
4621,Still-Life
4637,Nude
4639,Nude
4663,Musics
4677,Cafes/Bars
4695,Horses
4709,Nude
4719,Nude
4721,Flowers
4723,Nude
4779,Nude
4797,Nude
4797,Rivers/Lakes
4805,Nude
4941,Nude
5046,Lovers
5046,Nude
5109,Landscape Art
5109,Rivers/Lakes
5173,Landscape Art
5173,Rivers/Lakes
5181,Landscape Art
5185,Landscape Art
5187,Landscape Art
5227,Landscape Art
5231,Landscape Art
5237,Landscape Art
5249,Landscape Art
5271,Horses
5291,Rivers/Lakes
5305,Flowers
5305,Gardens
5367,Gardens
5373,Dancers
5383,Portraits
5387,Winter
5421,Portraits
5423,Portraits
5431,Portraits
5439,Portraits
5441,Portraits
5481,Rivers/Lakes
5529,Lovers
5529,Nude
5551,Portraits
5553,Portraits
5561,Portraits
5569,Portraits
5571,Portraits
5573,Portraits
5575,Portraits
5577,Portraits
5589,Portraits
5593,Lovers
5595,Lovers
5595,Nude
5636,Nude
5648,Christianity
5648,Jesus Christ
5650,Horses
5676,Portraits
5714,Portraits
5718,Horses
5768,Christianity
5768,Jesus Christ
5802,Horses
5810,Jesus Christ
5828,Musics
5840,Horses
5894,Dogs
5896,Portraits
5900,Portraits
5902,Portraits
5906,Portraits
5908,Portraits
5910,Portraits
5912,Portraits
5914,Portraits
5926,Portraits
5952,Musics
5980,Portraits
5984,Nude
5992,Winter
6010,Dogs
6020,Landscape Art
6020,Rivers/Lakes
