WORK_ID,NAME,ARTIST_ID,STYLE,MUSEUM_ID,WIDTH,HEIGHT
178,Starry Night,677,Post-Impressionism,30,36,29
179,Blossoming Almond Tree,677,Post-Impressionism,57,36,29
180,Café Terrace at Night,677,Post-Impressionism,43,26,32
382,A Group of Cottages,677,Post-Impressionism,34,29,24
403,Bouquet of Flowers in a Vase,677,Post-Impressionism,35,21,26
407,Bulb Fields,677,Post-Impressionism,46,26,19
413,"Cottages and Cypresses, Reminiscence of the North",677,Post-Impressionism,43,20,16
415,Cypresses,677,Post-Impressionism,35,29,37
417,Daubigny Garden,677,Post-Impressionism,43,40,20
418,Daubigny's Garden,677,Post-Impressionism,57,20,20
420,Dr. Paul Gachet,677,Post-Impressionism,49,22,27
429,Farmhouse in a Wheatfield,677,Post-Impressionism,43,20,20
464,First Steps (after Millet),677,Post-Impressionism,35,36,29
465,Fishing Boats on the Beach,677,Post-Impressionism,43,32,26
466,"Fishing in the Spring, Pont de Clichy",677,Post-Impressionism,68,24,20
469,Flowering Garden,677,Post-Impressionism,35,29,36
475,Imperial Fritillaries in a Copper Vase,677,Post-Impressionism,49,24,30
476,Garden Behind a House,677,Post-Impressionism,43,16,20
479,Garden with Flowers,677,Post-Impressionism,35,20,16
480,Gauguin Chair,677,Post-Impressionism,43,16,20
481,"Green Wheat Fields, Auvers",677,Post-Impressionism,46,20,16
483,Green Wheatfield with Cypress,677,Post-Impressionism,84,36,29
484,Half-Figure of an Angel (after Rembrandt),677,Post-Impressionism,43,20,16
485,Harvest at La Crau,677,Post-Impressionism,43,36,29
488,Houses and Figure,677,Post-Impressionism,51,19,24
520,House at Auvers,677,Post-Impressionism,59,29,24
523,Irises,677,Post-Impressionism,55,24,19
524,Irises in White Vase,677,Post-Impressionism,35,36,29
525,Japanese Vase with Roses and Anemones,677,Post-Impressionism,49,24,24
526,"La Berceuse, Portrait of Madame Roulin",677,Post-Impressionism,35,29,37
528,"La Mousme, Sitting",677,Post-Impressionism,46,19,24
529,Landscape at Saint-Remy,677,Post-Impressionism,57,38,30
530,Landscape at Twilight,677,Post-Impressionism,43,24,12
531,Landscape with Carriage and Train,677,Post-Impressionism,31,35,28
535,Langlois Bridge at Arles,677,Post-Impressionism,49,30,24
536,"L'Arlesienne, Portrait of Madame Ginoux",677,Post-Impressionism,35,29,36
544,Lilac Bush,677,Post-Impressionism,34,20,16
545,Long Grass with Butterflies,677,Post-Impressionism,47,32,25
546,Madame Augustine Roulin with Baby,677,Post-Impressionism,35,16,20
548,Marguerite Gachet in the Garden,677,Post-Impressionism,49,30,24
549,Memory of the Garden of Eden,677,Post-Impressionism,34,36,29
583,Mountains at Saint-Remy with Dark Cottage,677,Post-Impressionism,61,20,16
585,"Noon, Rest from Work (The Siesta)",677,Post-Impressionism,49,36,29
587,Olive Grove,677,Post-Impressionism,43,20,16
591,Olive Trees,677,Post-Impressionism,35,20,16
595,Orchard in Blossom,677,Post-Impressionism,43,37,29
598,"Orchards in Blossom, View of Arles",677,Post-Impressionism,43,20,16
601,Landscape with a House and a Ploughman,677,Post-Impressionism,34,30,24
602,Peach Trees in Blossom,677,Post-Impressionism,43,24,32
605,Pieta (after Delacroix),677,Post-Impressionism,43,24,29
608,Plaster Statuette of a Female Torso,677,Post-Impressionism,43,16,20
640,Ploughed Fields,677,Post-Impressionism,43,20,16
642,Portrait of a Peasant,677,Post-Impressionism,85,22,25
643,"Portrait of a Restaurant Owner, Lucien Martin",677,Post-Impressionism,47,16,20
644,Portrait of a Woman in Blue,677,Post-Impressionism,43,16,20
648,Portrait of Armand Roulin,677,Post-Impressionism,36,16,20
650,Portrait of Camille Roulin,677,Post-Impressionism,67,16,20
651,Portrait of Doctor Felix Rey,677,Post-Impressionism,31,16,20
654,Portrait of Joseph Roulin,677,Post-Impressionism,35,19,24
657,Portrait of Madame Trabuc,677,Post-Impressionism,34,16,20
662,Prisoners Exercising (after Gustave Dore),677,Post-Impressionism,31,16,20
666,Road with Cypress and Star,677,Post-Impressionism,43,29,36
667,Roots and Tree Trunks,677,Post-Impressionism,43,24,12
669,Roses,677,Post-Impressionism,35,20,16
701,Seascape at Saintes-Maries,677,Post-Impressionism,31,24,18
702,Seascape Near Les Saintes Maries de la Mer,677,Post-Impressionism,43,24,19
703,Self-Portrait,677,Post-Impressionism,68,16,20
704,Self-Portrait,677,Post-Impressionism,43,16,20
707,Self-Portrait 1887,677,Post-Impressionism,49,16,20
708,Self-Portrait 1887,677,Post-Impressionism,43,16,20
710,Self-Portrait 1889,677,Post-Impressionism,49,21,26
712,Self-Portrait in Front of the Easel,677,Post-Impressionism,57,16,20
713,Self-Portrait with a Straw Hat,677,Post-Impressionism,35,16,20
714,Self-Portrait with Bandaged Ear,677,Post-Impressionism,40,16,20
715,Self-Portrait with Bandaged Ear and Pipe,677,Post-Impressionism,40,16,20
716,Self-Portrait with Felt Hat,677,Post-Impressionism,43,16,20
719,Self-Portrait with Straw Hat,677,Post-Impressionism,43,16,20
722,Shoes,677,Post-Impressionism,35,20,16
725,Skull with Burning Cigarette,677,Post-Impressionism,43,16,20
726,Snow Covered Field with a Harrow,677,Post-Impressionism,43,24,19
728,Starry Night Over the Rhone,677,Post-Impressionism,49,36,29
760,Still Life with Three Oranges,677,Post-Impressionism,51,16,20
761,Still Life of Oranges and Lemons with Blue Gloves,677,Post-Impressionism,46,20,16
762,Still Life with a Bouquet of Daisies,677,Post-Impressionism,67,24,16
763,Still Life with Bible,677,Post-Impressionism,43,20,16
764,"Still Life with Grapes, Apples, Pear and Lemons",677,Post-Impressionism,68,20,16
766,Still Life with Pears,677,Post-Impressionism,43,20,16
768,Still Life with Two Sunflowers,677,Post-Impressionism,35,16,20
770,Sunflowers,677,Post-Impressionism,57,19,24
771,Sunflowers,677,Post-Impressionism,67,16,20
773,"Sunflowers, 14 in a Vase",677,Post-Impressionism,47,29,37
776,Tatched Cottages in Cordeville,677,Post-Impressionism,49,36,29
780,The Church at Auvers Sur Oise,677,Post-Impressionism,49,29,37
781,The Courtesan (after Eisen),677,Post-Impressionism,57,24,40
783,The Dance Hall in Arles,677,Post-Impressionism,49,30,24
784,The Drinkers (after Daumier),677,Post-Impressionism,68,20,16
785,The Factory,677,Post-Impressionism,51,24,19
787,The Flowering Orchard,677,Post-Impressionism,35,16,20
788,The Fourteenth of July Celebration in Paris,677,Post-Impressionism,43,16,20
820,The Garden of the Asylum in Saint-Remy,677,Post-Impressionism,36,20,16
825,The Italian Woman,677,Post-Impressionism,49,16,20
827,The Night Café,677,Post-Impressionism,31,35,28
832,"The Poet, Portrait of Eugene Boch",677,Post-Impressionism,49,16,24
833,The Potato Eaters,677,Post-Impressionism,43,45,32
834,The Potato Eaters,677,Post-Impressionism,57,24,19
835,The Raising of Lazarus (after Rembrandt),677,Post-Impressionism,43,20,16
837,The Reaper,677,Post-Impressionism,43,16,20
