date_amazon,date,id,price,price_online,price_amazon,sale_online,product_online,product_amazon,merchant,URL,imputed,COMMENTS,PRICETYPE,datediff,cat_id,category,retailer_id,retailer_s
1/28/2016,1/21/2016,6350009,199.99,169.99,156.99,1,Actiontec - MyWirelessTV2 Wireless Video Transmitter and Receiver - Black,Actiontec My Wireless TV WiFi / HDMI Multi-Room Wireless HD Video Kit - 2nd Generation (MWTV2KIT01),Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Actiontec-Wireless-WiFi-Multi-Room-Video/dp/B00LSS10PM/ref=sr_1_1?ie=UTF8&qid=1454040704&sr=8-1&keywords=Actiontec+-+MyWirelessTV2+Wireless+Video+Transmitter+and+Receiver+-+Black,1,,Regular Price,7,900,Electronics,40,USA_40
6/8/2016,6/7/2016,1573073,159.99,106.99,149.97,1,"Turtle Beach - Ear Force XO SEVEN PRO Gaming Headset for Xbox One - Black/Green""",Turtle Beach - Ear Force XO Seven Pro Premium Gaming Headset - Superhuman Hearing - Xbox One,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Turtle-Beach-Premium-Headset-Superhuman-Hearing/dp/B00O9GVKZU?ie=UTF8&keywords=Turtle%20Beach%20-%20Ear%20Force%20XO%20SEVEN%20PRO%20Gaming%20Headset%20for%20Xbox%20One%20-%20Black%2FGreen%26%2334%3B&m=ATVPDKIKX0DER&qid=1465444078&ref_=sr_1_1&sr=8-1,,,Regular Price,1,900,Electronics,40,USA_40
6/7/2016,6/7/2016,8801785,9.99,9.99,798,,"Sony - Passive 3D Glasses - Black""",Sony KDL55W800C 55-Inch 1080p 3D Smart LED TV (2015 Model),Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Sony-KDL55W800C-55-Inch-1080p-Smart/dp/B00R45XC0Y?ie=UTF8&keywords=Sony%20-%20Passive%203D%20Glasses%20-%20Black%26%2334%3B&m=ATVPDKIKX0DER&qid=1465357430&ref_=sr_1_1&sr=8-1,,,Regular Price,0,900,Electronics,40,USA_40
6/8/2016,6/6/2016,8448381,179.99,179.99,159.5,1,"Asus - WirelessAC1900 Dual-Band Gigabit Wireless Router - Black""",ASUS (RT-AC68U) Wireless-AC1900 Dual-Band Gigabit Router,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/RT-AC68U-Wireless-AC1900-Dual-Band-Gigabit-Router/dp/B00FB45SI4?ie=UTF8&keywords=Asus%20-%20WirelessAC1900%20Dual-Band%20Gigabit%20Wireless%20Router%20-%20Black%26%2334%3B&m=ATVPDKIKX0DER&qid=1465442038&ref_=sr_1_1&sr=8-1,,,Sale/Discounted Price,2,900,Electronics,40,USA_40
2/25/2015,2/24/2015,854448003037,249.99,249.99,249,,854448003037,Nest Learning Thermostat - 2nd Generation T200577,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Nest-Learning-Thermostat-Generation-T200577/dp/B009GDHYPQ/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1424840626&sr=8-1&keywords=854448003037,1,,,1,900,Electronics,40,USA_40
6/2/2016,5/29/2016,4802003,29.99,29.99,19.88,,"Sony - AM/FM Dual-Alarm Clock Radio - Black""","Sony ICFC1 Alarm Clock Radio, Black",Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Sony-ICFC1-Alarm-Clock-Radio/dp/B00IEYHMIM/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464924493&sr=8-1&keywords=Sony+-+AM%2FFM+Dual-Alarm+Clock+Radio+-+Black%22,1,,Regular Price,4,900,Electronics,40,USA_40
5/28/2016,5/21/2016,3215111,12.99,12.99,11.84,,"Nintendo - amiibo Figure (Peach)""",Peach amiibo (Super Mario Bros Series),Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Peach-amiibo-Super-Mario-Wii-U/dp/B00S7O6QWM/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464491590&sr=8-1&keywords=Nintendo+-+amiibo+Figure+%28Peach%29%22,1,,Regular Price,7,900,Electronics,40,USA_40
6/9/2016,6/7/2016,4938104,39.99,38.99,35.16,1,"Speck - CandyShell Inked Case for Samsung Galaxy S7 Cell Phones - Vintage Bouquet Grey/Shocking Pink""",Samsung Galaxy S 7 Candyshell Inked Case,Ships from and sold by Amazon.com. Gift-wrap available.,https://www.amazon.com/Speck-Products-CandyShell-Shocking-Protective/dp/B01BCWL49U/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465530149&sr=8-1&keywords=Speck+-+CandyShell+Inked+Case+for+Samsung+Galaxy+S7+Cell+Phones+-+Vintage+Bouquet+Grey%2FShocking+Pink%22,,,Regular Price,2,900,Electronics,40,USA_40
6/27/2016,6/21/2016,4397230,17.99,17.99,7.52,1,"Legrand/Pass & Seymour - USB In-Wall Charging Outlet - White""",Pass & Seymour Legrand Canopy Pull Switch Appliance Switches,Ships from and sold by Amazon.com. Gift-wrap available.,https://www.amazon.com/Pass-Seymour-Legrand-Appliance-Switches/dp/B001VXRFVM/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1467084466&sr=8-1&keywords=Legrand%2FPass,,,Sale/Discounted Price,6,900,Electronics,40,USA_40
6/22/2016,6/22/2016,9575199,99.99,89.99,89.99,1,"Canon - MAXIFY MB2320 Wireless All-In-One Printer - Black""","Canon MAXIFY MB2320 Wireless Office All-In-One Inkjet Printer with Mobile and Tablet Printing, Black",Ships from and sold by Amazon.com. Gift-wrap available.,https://www.amazon.com/Canon-MB2320-Wireless-Printer-Printing/dp/B00NNVDPUK/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1466651858&sr=8-1&keywords=Canon+-+MAXIFY+MB2320+Wireless+All-In-One+Printer+-+Black%22,,,Regular Price,0,900,Electronics,40,USA_40
