zipcode,zipcodetype,city,state,lat,lgt
00705,STANDARD,AIBONITO,PR,18.14,-66.26
00610,STANDARD,ANASCO,PR,18.28,-67.14
00611,PO BOX,ANGELES,PR,18.28,-66.79
00612,STANDARD,ARECIBO,PR,18.45,-66.73
00601,STANDARD,ADJUNTAS,PR,18.16,-66.72
00631,PO BOX,CASTANER,PR,18.19,-66.82
00602,STANDARD,AGUADA,PR,18.38,-67.18
00603,STANDARD,AGUADILLA,PR,18.43,-67.15
00604,PO BOX,AGUADILLA,PR,18.43,-67.15
00605,PO BOX,AGUADILLA,PR,18.43,-67.15
00703,STANDARD,AGUAS BUENAS,PR,18.25,-66.10
00704,STANDARD,AGUIRRE,PR,17.96,-66.22
07675,STANDARD,WESTWOOD,NJ,40.98,-74.03
07677,STANDARD,WOODCLIFF LAKE,NJ,41.02,-74.05
07885,STANDARD,WHARTON,NJ,40.89,-74.58
07981,STANDARD,WHIPPANY,NJ,40.82,-74.41
07999,STANDARD,WHIPPANY,NJ,40.82,-74.41
08888,PO BOX,WHITEHOUSE,NJ,40.62,-74.76
08889,STANDARD,WHITEHOUSE STATION,NJ,40.60,-74.76
07095,STANDARD,WOODBRIDGE,NJ,40.55,-74.28
07481,STANDARD,WYCKOFF,NJ,40.99,-74.16
10451,STANDARD,BRONX,NY,40.84,-73.87
10452,STANDARD,BRONX,NY,40.84,-73.87
10453,STANDARD,BRONX,NY,40.84,-73.87
10454,STANDARD,BRONX,NY,40.84,-73.87
10455,STANDARD,BRONX,NY,40.84,-73.87
10456,STANDARD,BRONX,NY,40.84,-73.87
10457,STANDARD,BRONX,NY,40.84,-73.87
10458,STANDARD,BRONX,NY,40.84,-73.87
10459,STANDARD,BRONX,NY,40.84,-73.87
10460,STANDARD,BRONX,NY,40.84,-73.87
10461,STANDARD,BRONX,NY,40.84,-73.87
10462,STANDARD,BRONX,NY,40.84,-73.87
10463,STANDARD,BRONX,NY,40.84,-73.87
10464,STANDARD,BRONX,NY,40.84,-73.87
10465,STANDARD,BRONX,NY,40.84,-73.87
10466,STANDARD,BRONX,NY,40.84,-73.87
10467,STANDARD,BRONX,NY,40.84,-73.87
10468,STANDARD,BRONX,NY,40.84,-73.87
10469,STANDARD,BRONX,NY,40.84,-73.87
